pickslip_id,parts_m,edge_freq
pickslip_8589941126,"part_8589941059,part_8589941121,part_8589941123,part_8589941126,part_8589941129",1
pickslip_8590255382,"part_8589934897,part_8589942387,part_8589942388",1
pickslip_8590218311,"part_8589934867,part_8589935241,part_8589942387",1
pickslip_8590166616,"part_8589936614,part_8589938411,part_8589942387",1
pickslip_8590227390,"part_8589934897,part_8589942387",1
pickslip_8590247686,"part_8589935092,part_8589936026,part_8589940562,part_8589949121",1
pickslip_8589964893,"part_8589940562,part_8589949121",10
pickslip_8590227854,"part_8589939779,part_8590031596",1
pickslip_8590204324,"part_8589939779,part_8590031596,part_8590204324",1
pickslip_8590246768,"part_8589940475,part_8590031596",1
pickslip_8590086388,"part_8589934717,part_8590004336,part_8590086388",1
pickslip_8590121188,"part_8590115927,part_8590121188",1
pickslip_8590030548,"part_8589934975,part_8590027614,part_8590030544,part_8590030546,part_8590030547,part_8590030548",1
pickslip_8590021589,"part_8589942119,part_8589942233,part_8589949082",1
pickslip_8590181553,"part_8589934917,part_8589942119",1
pickslip_8590151067,"part_8589935445,part_8589935644,part_8589936376,part_8589936978,part_8589937437",1
pickslip_8590044522,"part_8589936385,part_8590013075,part_8590015312,part_8590015313",1
pickslip_8590169036,"part_8589934793,part_8589935313,part_8589939571,part_8589939876,part_8589942388",1
pickslip_8590153177,"part_8589934989,part_8589942388",1
pickslip_8589989806,"part_8589934990,part_8589935671",1
pickslip_8590274248,"part_8589943299,part_8590121547,part_8590121553,part_8590158198,part_8590225050,part_8590230336,part_8590272114,part_8590272120,part_8590273201,part_8590273376,part_8590273380,part_8590273405,part_8590273406",1
pickslip_8590006637,"part_8589935397,part_8589935427,part_8589935428,part_8589935429,part_8589935430,part_8589935434,part_8589935435,part_8589935447,part_8589936063,part_8589936224,part_8589942943,part_8589945254,part_8589970280,part_8589975679,part_8589975685,part_8589975688,part_8589977826,part_8589977840,part_8589977894,part_8589977897",1
pickslip_8590003447,"part_8589935397,part_8589935427,part_8589935428,part_8589935429,part_8589935430,part_8589935434,part_8589935435,part_8589935447,part_8589936063,part_8589942943,part_8589945254,part_8589970280,part_8589975679,part_8589977826,part_8589977894",2
pickslip_8590103595,"part_8589934859,part_8589935397,part_8589935427,part_8589935428,part_8589935429,part_8589935430,part_8589935447,part_8589935458,part_8589936320,part_8589946155,part_8589947685,part_8589949330,part_8589984353,part_8589984365,part_8590007450,part_8590017604",3
pickslip_8590147890,"part_8589934897,part_8589935397,part_8589935427,part_8589935428,part_8589935429,part_8589935443,part_8589935446,part_8589935447,part_8589935451,part_8589938914,part_8589942266",1
pickslip_8590030373,"part_8589934841,part_8589934897,part_8589935397,part_8589935427,part_8589935428,part_8589935429,part_8589935442,part_8589935443,part_8589935446,part_8589935447,part_8589935451",6
pickslip_8589970236,"part_8589934653,part_8589934666,part_8589934744,part_8589934745,part_8589934924,part_8589935012,part_8589935049,part_8589935066,part_8589935389,part_8589935444,part_8589935722,part_8589937961,part_8589937988,part_8589937998,part_8589938592,part_8589938599,part_8589939946,part_8589941224,part_8589951741,part_8589953017,part_8589953364,part_8589953387,part_8589953388,part_8589953405,part_8589953408,part_8589953411,part_8589956000",1
pickslip_8589956000,"part_8589934653,part_8589934744,part_8589934745,part_8589935049,part_8589935066,part_8589935389,part_8589935422,part_8589935444,part_8589935722,part_8589935938,part_8589936905,part_8589937961,part_8589937988,part_8589937998,part_8589941224,part_8589947011,part_8589951741,part_8589953364,part_8589953387,part_8589953388,part_8589953405,part_8589953408,part_8589953411,part_8589956000",1
pickslip_8589999375,"part_8589948711,part_8589999375",1
