part_id,part_abs_freq,type
part_8589957336,3,Consumable
part_8589944819,23,Consumable
part_8590247657,4,Part
part_8590247075,3,Part
part_8589963764,1,Part
part_8590058840,3,Part
part_8590034855,9,Consumable
part_8590242701,1,Consumable
part_8590066797,1,Part
part_8590115923,2,Consumable
part_8590025662,2,Consumable
part_8590055323,2,Consumable
part_8590056941,1,Consumable
part_8590029296,1,Consumable
part_8590036482,7,Consumable
part_8590150437,3,Consumable
part_8590139668,2,Consumable
part_8590109321,7,Part
part_8590185628,2,Consumable
part_8590110083,1,Consumable
part_8589995883,1,Consumable
part_8590043425,6,Part
part_8590086397,1,Consumable
part_8589943389,5,Consumable
part_8590185702,1,Part
part_8589947068,18,Part
part_8589943706,26,Consumable
part_8590149163,1,Part
part_8589983882,1,Part
part_8589971200,2,Consumable
part_8590243765,1,Part
part_8589937265,2,Part
part_8590133025,1,Consumable
part_8590084782,1,Consumable
part_8590084378,3,Consumable
part_8590225048,5,Consumable
part_8589982848,2,Consumable
part_8590224533,32,Consumable
part_8590040480,1,Consumable
part_8589972222,1,Consumable
part_8590172910,1,Non-aircraft material
part_8590115646,2,Consumable
part_8590115657,2,Consumable
part_8589982818,2,Part
part_8589937638,2,Part
part_8590221416,1,Part
part_8589966395,1,Part
part_8589953746,21,Consumable
part_8590049076,6,Consumable
part_8589944454,9,Consumable
part_8589943997,1,Part
part_8590064989,2,Consumable
part_8590127199,1,Consumable
part_8589940733,5,Consumable
part_8589947630,2,Consumable
part_8589976707,6,Part
part_8590109391,1,Consumable
part_8589939116,51,Part
part_8589942547,1,Part
part_8590021741,18,Consumable
part_8589964076,2,Consumable
part_8590014133,1,Consumable
part_8589939977,38,Consumable
part_8589954012,2,Consumable
part_8589952542,1,Consumable
part_8590034472,1,Consumable
part_8590034474,1,Consumable
part_8590031130,2,Consumable
part_8590115922,3,Consumable
part_8590115920,2,Consumable
part_8590115924,2,Consumable
part_8590261632,1,Consumable
part_8589992838,1,Consumable
part_8589946022,7,Consumable
part_8589962158,6,Consumable
part_8589988913,1,Consumable
part_8590108454,1,Consumable
part_8590005559,6,Consumable
part_8590038980,1,Non-aircraft material
part_8590013498,3,Part
part_8590083861,2,Part
part_8590074178,9,Part
part_8590259090,1,Part
part_8590078891,1,Consumable
part_8589960556,3,Consumable
part_8590183609,1,Consumable
part_8590183612,1,Consumable
part_8590019100,1,Consumable
part_8590047535,3,Consumable
part_8590058522,8,Part
part_8590182192,1,Consumable
part_8589934839,32,Consumable
part_8589942222,26,Consumable
part_8589935198,58,Consumable
part_8589953726,2,Part
part_8590249087,3,Consumable
part_8590012427,12,Consumable
part_8590175072,1,Consumable
part_8589990260,1,Consumable
part_8590144232,1,Consumable
part_8590065828,1,Consumable
part_8589942520,4,Consumable
part_8589935346,216,Consumable
part_8590166996,5,Consumable
part_8589934788,555,Consumable
part_8589934814,824,Consumable
part_8590012616,14,Consumable
part_8590207678,1,Consumable
part_8590239346,1,Consumable
